 p V(out) V(in) 
 0.307 3.3 0.307 
 0.308 3.3 0.308 
 0.309 3.3 0.309 
 0.31 3.3 0.31 
 0.311 3.3 0.311 
 0.312 3.3 0.312 
 0.313 3.3 0.313 
 0.314 3.3 0.314 
 0.315 3.3 0.315 
 0.316 3.3 0.316 
 0.317 3.3 0.317 
 0.318 3.3 0.318 
 0.319 3.3 0.319 
 0.32 3.3 0.32 
 0.321 3.3 0.321 
 0.322 3.3 0.322 
 0.323 3.3 0.323 
 0.324 3.3 0.324 
 0.325 3.3 0.325 
 0.326 3.3 0.326 
 0.327 3.3 0.327 
 0.328 3.3 0.328 
 0.329 3.3 0.329 
 0.33 3.3 0.33 
 0.331 3.3 0.331 
 0.332 3.3 0.332 
 0.333 3.3 0.333 
 0.334 3.3 0.334 
 0.335 3.3 0.335 
 0.336 3.3 0.336 
 0.337 3.3 0.337 
 0.338 3.3 0.338 
 0.339 3.3 0.339 
 0.34 3.3 0.34 
 0.341 3.3 0.341 
 0.342 3.3 0.342 
 0.343 3.3 0.343 
 0.344 3.3 0.344 
 0.345 3.3 0.345 
 0.346 3.3 0.346 
 0.347 3.3 0.347 
 0.348 3.3 0.348 
 0.349 3.3 0.349 
 0.35 3.3 0.35 
 0.351 3.3 0.351 
 0.352 3.3 0.352 
 0.353 3.3 0.353 
 0.354 3.3 0.354 
 0.355 3.3 0.355 
 0.356 3.3 0.356 
 0.357 3.3 0.357 
 0.358 3.3 0.358 
 0.359 3.3 0.359 
 0.36 3.3 0.36 
 0.361 3.3 0.361 
 0.362 3.3 0.362 
 0.363 3.3 0.363 
 0.364 3.3 0.364 
 0.365 3.3 0.365 
 0.366 3.3 0.366 
 0.367 3.3 0.367 
 0.368 3.3 0.368 
 0.369 3.3 0.369 
 0.37 3.3 0.37 
 0.371 3.3 0.371 
 0.372 3.3 0.372 
 0.373 3.3 0.373 
 0.374 3.3 0.374 
 0.375 3.3 0.375 
 0.376 3.3 0.376 
 0.377 3.3 0.377 
 0.378 3.3 0.378 
 0.379 3.3 0.379 
 0.38 3.3 0.38 
 0.381 3.3 0.381 
 0.382 3.3 0.382 
 0.383 3.3 0.383 
 0.384 3.3 0.384 
 0.385 3.3 0.385 
 0.386 3.3 0.386 
 0.387 3.3 0.387 
 0.388 3.3 0.388 
 0.389 3.3 0.389 
 0.39 3.3 0.39 
 0.391 3.3 0.391 
 0.392 3.3 0.392 
 0.393 3.3 0.393 
 0.394 3.3 0.394 
 0.395 3.3 0.395 
 0.396 3.3 0.396 
 0.397 3.3 0.397 
 0.398 3.3 0.398 
 0.399 3.3 0.399 
 0.4 3.3 0.4 
 0.401 3.3 0.401 
 0.402 3.3 0.402 
 0.403 3.3 0.403 
 0.404 3.3 0.404 
 0.405 3.3 0.405 
 0.406 3.3 0.406 
 0.407 3.3 0.407 
 0.408 3.3 0.408 
 0.409 3.3 0.409 
 0.41 3.3 0.41 
 0.411 3.3 0.411 
 0.412 3.3 0.412 
 0.413 3.3 0.413 
 0.414 3.3 0.414 
 0.415 3.3 0.415 
 0.416 3.3 0.416 
 0.417 3.3 0.417 
 0.418 3.3 0.418 
 0.419 3.3 0.419 
 0.42 3.3 0.42 
 0.421 3.3 0.421 
 0.422 3.3 0.422 
 0.423 3.3 0.423 
 0.424 3.3 0.424 
 0.425 3.3 0.425 
 0.426 3.3 0.426 
 0.427 3.3 0.427 
 0.428 3.3 0.428 
 0.429 3.3 0.429 
 0.43 3.3 0.43 
 0.431 3.3 0.431 
 0.432 3.3 0.432 
 0.433 3.3 0.433 
 0.434 3.3 0.434 
 0.435 3.3 0.435 
 0.436 3.3 0.436 
 0.437 3.3 0.437 
 0.438 3.3 0.438 
 0.439 3.3 0.439 
 0.44 3.3 0.44 
 0.441 3.3 0.441 
 0.442 3.3 0.442 
 0.443 3.3 0.443 
 0.444 3.3 0.444 
 0.445 3.3 0.445 
 0.446 3.3 0.446 
 0.447 3.3 0.447 
 0.448 3.3 0.448 
 0.449 3.3 0.449 
 0.45 3.3 0.45 
 0.451 3.3 0.451 
 0.452 3.3 0.452 
 0.453 3.3 0.453 
 0.454 3.3 0.454 
 0.455 3.3 0.455 
 0.456 3.3 0.456 
 0.457 3.3 0.457 
 0.458 3.3 0.458 
 0.459 3.3 0.459 
 0.46 3.3 0.46 
 0.461 3.3 0.461 
 0.462 3.3 0.462 
 0.463 3.3 0.463 
 0.464 3.3 0.464 
 0.465 3.3 0.465 
 0.466 3.3 0.466 
 0.467 3.3 0.467 
 0.468 3.3 0.468 
 0.469 3.3 0.469 
 0.47 3.3 0.47 
 0.471 3.3 0.471 
 0.472 3.3 0.472 
 0.473 3.3 0.473 
